id,name,category,district,province,latitude,longitude,height_m,trekking_difficulty,entrance_fee_lkr,accessibility,best_season,description,image_filenames,source_url,image_source_attribution
1,Diyaluma Falls,waterfall,Badulla,Uva,6.7297,81.0374,220,Moderate,0,Roadside view from the Colombo-Batticaloa highway; hiking to the top pools requires a strenuous 1-2 hour climb,Dec-Apr,"Diyaluma is the second-highest waterfall in Sri Lanka, cascading dramatically down a rock face beside the main highway between Wellawaya and Koslanda. Adventurous visitors can hike up to a series of natural infinity pools at the top, offering panoramic views over the Uva lowlands. The base area has a small pool for a quick dip, while the top pools are a favorite for cliff-jumping and swimming among backpackers.",diyaluma_1.jpg|diyaluma_2.jpg,https://en.wikipedia.org/wiki/Diyaluma_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
2,Bambarakanda Falls,waterfall,Badulla,Uva,6.7961,80.7975,241,Easy to base,0,Short walk from the parking area near Kalupahana; base viewpoint is easily accessible,Dec-Apr,"Bambarakanda is the tallest waterfall in Sri Lanka, plunging 241 meters down a forested cliff near Kalupahana in the hill country. The falls are fed by the Kuda Oya stream and are most powerful during the northeast monsoon season. A short trail from the road leads to a viewing point at the base, and the surrounding pine forest makes it a popular stop for hikers heading to nearby tea estates.",bambarakanda_1.jpg|bambarakanda_2.jpg,https://en.wikipedia.org/wiki/Bambarakanda_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
3,Dunhinda Falls,waterfall,Badulla,Uva,6.9819,81.0654,64,Easy,0,15-20 minute walk on a paved path from the entrance near Badulla,Year-round,"Dunhinda Falls is one of the most scenic waterfalls in Sri Lanka, located a short drive from Badulla town. Water from the Badulu Oya river drops in a broad curtain into a misty pool below, creating a fine spray that gives the falls its bridal-veil appearance. The walk to the falls passes through forest and small stalls selling snacks, making it an easy and popular family outing.",dunhinda_1.jpg|dunhinda_2.jpg,https://en.wikipedia.org/wiki/Dunhinda_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
4,Ravana Falls,waterfall,Badulla,Uva,6.8331,81.0547,25,Easy,0,"Directly visible from the Ella-Wellawaya highway, roadside viewing platform",Dec-Apr,"Ravana Falls is a wide, low waterfall located right beside the main road near Ella, making it one of the most accessible falls in the hill country. Local legend connects the falls to the Ramayana epic, adding cultural significance to its natural beauty. Visitors often stop briefly for photos, though swimming is discouraged due to strong currents, especially after rain.",ravana_1.jpg|ravana_2.jpg,https://en.wikipedia.org/wiki/Ravana_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
5,St. Clair's Falls,waterfall,Nuwara Eliya,Central,6.9425,80.6167,80,Easy,0,Roadside viewpoint on the Talawakele-Ginigathena road,Dec-Mar,"Known as the 'Little Niagara of Sri Lanka', St. Clair's Falls is a broad twin waterfall set amid rolling tea plantations near Talawakele. Its wide curtain of water and lush green surroundings make it one of the most photographed falls in the country, easily viewed from a roadside platform without any hiking required. The falls are especially striking after the monsoon rains fill the Kotmale Oya.",stclairs_1.jpg|stclairs_2.jpg,https://en.wikipedia.org/wiki/St._Clair%27s_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
6,Devon Falls,waterfall,Nuwara Eliya,Central,6.9294,80.6294,97,Easy,0,Roadside viewpoint on the Hatton-Talawakele road,Dec-Mar,"Devon Falls drops 97 meters through a narrow gorge surrounded by tea estates, located close to St. Clair's Falls in the hill country. Named after an early British coffee planter, the falls are visible from a roadside lookout point and are a common stop on hill-country road trips. The dramatic single drop is best viewed from a distance across the valley.",devon_1.jpg|devon_2.jpg,https://en.wikipedia.org/wiki/Devon_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
7,Bopath Ella Falls,waterfall,Ratnapura,Sabaragamuwa,6.7719,80.3306,30,Easy,0,Short walk from the parking area near Kuruwita,May-Sep,"Bopath Ella takes its name from its distinctive leaf-shaped silhouette, resembling a Bo leaf as it falls into a wide pool below. Located near Kuruwita in Ratnapura district, the falls are a popular local swimming and picnic spot, easily reached by a short walk from the road. The pool at the base is generally calm enough for casual bathing outside of peak monsoon flow.",bopathella_1.jpg|bopathella_2.jpg,https://en.wikipedia.org/wiki/Bopath_Ella_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
8,Laxapana Falls,waterfall,Nuwara Eliya,Central,6.9439,80.4917,126,Easy,0,Roadside viewpoint near Maskeliya,Year-round,"Laxapana Falls is formed by the Maskeliya Oya and is closely tied to Sri Lanka's hydroelectric power history, feeding one of the country's earliest hydro plants. The falls can be viewed from a roadside point along the Hatton-Maskeliya road, set against a backdrop of forested hills. Its consistent flow makes it visible throughout the year, unlike some seasonal falls nearby.",laxapana_1.jpg|laxapana_2.jpg,https://en.wikipedia.org/wiki/Laxapana_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
9,Aberdeen Falls,waterfall,Kegalle,Sabaragamuwa,6.9206,80.5217,98,Moderate,0,Short hike required from the nearest access road,May-Sep,"Aberdeen Falls is a scenic multi-tier waterfall near the Aberdeen hydro reservoir in the Kegalle district, reached via a short but sometimes steep forest path. The falls feed into the Aberdeen reservoir, part of the Kotmale hydroelectric complex, and are less crowded than more famous falls, offering a quieter nature experience. The surrounding forest and stream crossings add to the hike's appeal.",aberdeen_1.jpg|aberdeen_2.jpg,https://en.wikipedia.org/wiki/Aberdeen_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
10,Galboda Falls,waterfall,Kegalle,Sabaragamuwa,6.9333,80.5333,60,Moderate,0,Hike through forest trail required,May-Sep,"Galboda Falls lies close to Aberdeen Falls in the Kegalle hills and requires a forest walk to reach, keeping visitor numbers relatively low. The falls tumble over a rocky outcrop into a shaded pool, popular with local hikers exploring the Kotmale watershed area. Both Galboda and Aberdeen are often visited together as part of a half-day hiking trip.",galboda_1.jpg|galboda_2.jpg,https://en.wikipedia.org/wiki/Galboda_Falls,"Wikimedia Commons, CC BY-SA - verify per image"
11,Adam's Peak (Sri Pada),mountain,Ratnapura,Sabaragamuwa,6.8096,80.4994,2243,Strenuous,0,"Overnight pilgrimage climb via ~5500 steps, well-lit during pilgrim season Dec-May",Dec-May,"Adam's Peak, known locally as Sri Pada, is one of Sri Lanka's most sacred mountains, revered by Buddhists, Hindus, Muslims, and Christians alike for the sacred footprint at its summit. Pilgrims typically begin the climb at night to reach the summit by sunrise, witnessing the famous shadow of the peak cast across the clouds. The pilgrimage season runs from December to May, when the thousands of steps are illuminated and lined with tea stalls.",adamspeak_1.jpg|adamspeak_2.jpg,https://en.wikipedia.org/wiki/Adam%27s_Peak,"Wikimedia Commons, CC BY-SA - verify per image"
12,Pidurutalagala,mountain,Nuwara Eliya,Central,7,80.7667,2524,Moderate (restricted access),0,"Highest peak in Sri Lanka; summit road is military-restricted, special permission required",Year-round,"Pidurutalagala is the highest mountain in Sri Lanka, towering above Nuwara Eliya town. Its summit hosts telecommunications towers and is controlled by the military, meaning public access is restricted and usually requires prior permission or a guided tour. The lower slopes offer forest trails and cool climate scenery typical of the central highlands.",pidurutalagala_1.jpg|pidurutalagala_2.jpg,https://en.wikipedia.org/wiki/Pidurutalagala,"Wikimedia Commons, CC BY-SA - verify per image"
13,Ella Rock,mountain,Badulla,Uva,6.8564,81.0603,1041,Moderate,0,"Popular day hike from Ella town, ~3-4 hours round trip via the railway track route",Year-round,"Ella Rock is one of the most popular day hikes in the hill country, offering sweeping views over the Ella Gap and surrounding tea country. The trail often begins by following the railway tracks out of Ella before climbing through forest and tea estates to the summit. It's a moderately challenging but non-technical hike, making it accessible to most reasonably fit travelers.",ellarock_1.jpg|ellarock_2.jpg,https://en.wikipedia.org/wiki/Ella,"Wikimedia Commons, CC BY-SA - verify per image"
14,Namunukula,mountain,Badulla,Uva,6.9667,81.1667,2036,Strenuous,0,"Full-day hike across a seven-peak ridge, guide recommended",Dec-Apr,"Namunukula is a distinctive seven-peaked mountain range near Badulla, forming one of the highest points in Uva province. The ridge hike traverses multiple summits and offers panoramic views across the eastern hill country toward the lowlands. Due to its length and lack of clear signage in places, a local guide is recommended for the full traverse.",namunukula_1.jpg|namunukula_2.jpg,https://en.wikipedia.org/wiki/Namunukula,"Wikimedia Commons, CC BY-SA - verify per image"
15,Hanthana Mountain Range,mountain,Kandy,Central,7.25,80.5833,1200,Moderate,0,"Multiple trailheads accessible from Kandy city, various loop options",Year-round,"The Hanthana range lies just outside Kandy city, offering a network of hiking trails through forest reserves and old tea and cardamom plantations. Popular routes include the Panorama Route and trails past the University of Peradeniya, with several viewpoints overlooking Kandy and the surrounding hills. Its proximity to the city makes it a favorite for both casual walkers and serious trail runners.",hanthana_1.jpg|hanthana_2.jpg,https://en.wikipedia.org/wiki/Hanthana_Mountain_Range,"Wikimedia Commons, CC BY-SA - verify per image"
16,World's End (Horton Plains),mountain,Nuwara Eliya,Central,6.7906,80.7975,2100,Easy to moderate,10500,"Park entrance fee applies (~USD 35 for foreign adults); circular trail from the entrance, ~3-4 hours",Jan-Mar,"World's End is a sheer escarpment within Horton Plains National Park, dropping nearly 880 meters into the valley below and offering one of the most dramatic views in Sri Lanka. The trail to World's End follows a circular route through montane grasslands and cloud forest, passing Baker's Falls along the way. Early morning visits are recommended, as mist typically rolls in and obscures the view by mid-morning.",worldsend_1.jpg|worldsend_2.jpg,https://en.wikipedia.org/wiki/Horton_Plains_National_Park,"Wikimedia Commons, CC BY-SA - verify per image"
17,Riverston Peak,mountain,Matale,Central,7.4167,80.7667,1100,Moderate,0,Viewpoint accessible by road with short walks to lookout points,Year-round,"Riverston, part of the Knuckles mountain range, is known for its dramatic rock formations and panoramic viewpoints, most famously 'Mini World's End'. The area offers a mix of short roadside viewpoints and longer hiking trails through cloud forest, making it flexible for different fitness levels. Riverston is also a gateway for more serious treks into the Knuckles range.",riverston_1.jpg|riverston_2.jpg,https://en.wikipedia.org/wiki/Knuckles_Mountain_Range,"Wikimedia Commons, CC BY-SA - verify per image"
18,Lakegala,mountain,Matale,Central,7.3833,80.8333,1310,Strenuous,0,Technical climb with exposed rock sections; local guide strongly recommended,Jan-Apr,"Lakegala is a striking, near-vertical rock peak within the Knuckles range, considered one of the more technical and challenging climbs in Sri Lanka. The final ascent involves scrambling over exposed rock faces, and the mountain holds cultural significance in local Ravana-related folklore. Due to the terrain, only experienced hikers with a knowledgeable local guide should attempt the summit.",lakegala_1.jpg|lakegala_2.jpg,https://en.wikipedia.org/wiki/Lakegala,"Wikimedia Commons, CC BY-SA - verify per image"
19,Kirigalpotta,mountain,Nuwara Eliya,Central,6.7833,80.7667,2395,Strenuous,0,Second-highest peak in Sri Lanka; permit from Horton Plains park office required,Jan-Mar,"Kirigalpotta is the second-highest mountain in Sri Lanka, located within the Horton Plains National Park boundary. Unlike World's End, reaching the summit requires special permission from park authorities and a longer trek through denser forest and grassland. Its relative inaccessibility keeps visitor numbers low compared to other Horton Plains attractions.",kirigalpotta_1.jpg|kirigalpotta_2.jpg,https://en.wikipedia.org/wiki/Kirigalpotta,"Wikimedia Commons, CC BY-SA - verify per image"
20,Knuckles Peak,mountain,Matale,Central,7.4667,80.7833,1863,Strenuous,0,Multi-hour trek from designated trailheads within the Knuckles Conservation Forest,Jan-Apr,"Knuckles Peak is the central and highest point of the Knuckles mountain range, named for its resemblance to a clenched fist when viewed from a distance. The range is a UNESCO World Heritage Site known for its exceptional biodiversity and cloud forest ecosystems. Treks to the peak pass through varied terrain, from grasslands to dense montane forest, and are best done with a registered guide.",knucklespeak_1.jpg|knucklespeak_2.jpg,https://en.wikipedia.org/wiki/Knuckles_Mountain_Range,"Wikimedia Commons, CC BY-SA - verify per image"
21,Mirissa Beach,beach,Matara,Southern,5.9483,80.4589,,,0,"Easily accessible from Mirissa town, close to Matara-Colombo coastal road",Nov-Apr,"Mirissa is a crescent-shaped beach on the south coast famous for its calm waters, palm-lined shore, and vibrant beach bar scene. It's one of the best departure points in Sri Lanka for whale and dolphin watching boat tours, especially for spotting blue whales during the season. The beach is also popular with surfers at its western end, near Parrot Rock.",mirissa_1.jpg|mirissa_2.jpg,https://en.wikipedia.org/wiki/Mirissa,"Wikimedia Commons, CC BY-SA - verify per image"
22,Unawatuna Beach,beach,Galle,Southern,6.0108,80.2492,,,0,"A few kilometers from Galle Fort, easily reached by tuk-tuk or bus",Nov-Apr,"Unawatuna is a sheltered horseshoe-shaped bay near Galle, known for its calm, shallow waters that make it one of the safest swimming beaches in Sri Lanka. The beach is lined with guesthouses, cafes, and dive shops, and is a popular base for snorkeling trips to nearby coral reefs. Its proximity to Galle Fort makes it a convenient stop on south coast itineraries.",unawatuna_1.jpg|unawatuna_2.jpg,https://en.wikipedia.org/wiki/Unawatuna,"Wikimedia Commons, CC BY-SA - verify per image"
23,Hikkaduwa Beach,beach,Galle,Southern,6.1408,80.1017,,,0,Directly accessible from Hikkaduwa town along the coastal road,Nov-Apr,"Hikkaduwa is known for its coral sanctuary and lively surf scene, combining a protected marine national park with a bustling stretch of beach bars and shops. Glass-bottom boat tours and snorkeling trips let visitors view the coral reef and its resident sea turtles just offshore. The southern end of the beach also offers consistent waves popular with both beginner and experienced surfers.",hikkaduwa_1.jpg|hikkaduwa_2.jpg,https://en.wikipedia.org/wiki/Hikkaduwa,"Wikimedia Commons, CC BY-SA - verify per image"
24,Bentota Beach,beach,Galle,Southern,6.426,79.9955,,,0,Well connected via the Southern Expressway and coastal railway,Nov-Apr,"Bentota is one of Sri Lanka's premier beach resort towns, known for its wide sandy shore and extensive water sports offerings, including jet skiing, windsurfing, and deep-sea fishing. The Bentota river estuary nearby adds river safari and mangrove tour options alongside the beach itself. Large resort hotels line much of the coastline, making it a popular choice for package holidaymakers.",bentota_1.jpg|bentota_2.jpg,https://en.wikipedia.org/wiki/Bentota,"Wikimedia Commons, CC BY-SA - verify per image"
25,Arugam Bay,beach,Ampara,Eastern,6.84,81.8367,,,0,"Located on the east coast; best reached via Pottuvil, road access from Colombo ~7-8 hours",Apr-Oct,"Arugam Bay is widely regarded as one of the best surf destinations in South Asia, drawing surfers from around the world to its consistent right-hand point break. Beyond surfing, the area offers a laid-back beach town atmosphere, nearby lagoons for birdwatching, and easy access to Kumana National Park. The surf season runs opposite to the west and south coasts, peaking during the southwest monsoon.",arugambay_1.jpg|arugambay_2.jpg,https://en.wikipedia.org/wiki/Arugam_Bay,"Wikimedia Commons, CC BY-SA - verify per image"
26,Nilaveli Beach,beach,Trincomalee,Eastern,8.6833,81.1958,,,0,A short drive north of Trincomalee town,Apr-Sep,"Nilaveli is a long stretch of white sand beach on the northeast coast, known for its calm, clear waters and proximity to Pigeon Island National Park. Boat trips from Nilaveli take visitors to Pigeon Island for snorkeling among coral reefs and reef sharks. The relatively undeveloped coastline gives it a quieter feel compared to more built-up west coast beaches.",nilaveli_1.jpg|nilaveli_2.jpg,https://en.wikipedia.org/wiki/Nilaveli,"Wikimedia Commons, CC BY-SA - verify per image"
27,Pasikuda Beach,beach,Batticaloa,Eastern,7.9167,81.5667,,,0,Accessible via Batticaloa or Valachchenai on the east coast,Apr-Sep,"Pasikuda is known for its unusually shallow, calm bay, where the sea remains gentle far from shore, making it especially popular with families and less confident swimmers. The beach has seen significant resort development in recent years while retaining long stretches of quiet sand further from the main hotel strip. Its calm waters also make it suitable for kayaking and paddleboarding.",pasikuda_1.jpg|pasikuda_2.jpg,https://en.wikipedia.org/wiki/Pasikuda,"Wikimedia Commons, CC BY-SA - verify per image"
28,Tangalle Beach,beach,Hambantota,Southern,6.0242,80.7936,,,0,Along the southern coastal road east of Matara,Nov-Apr,"Tangalle offers some of the south coast's quieter, less developed beaches, with several secluded coves separated by rocky outcrops. Nearby beaches such as Rekawa are important sea turtle nesting sites, with guided night tours available to watch turtles come ashore to lay eggs. The area's relative remoteness compared to Mirissa or Unawatuna appeals to travelers seeking a slower pace.",tangalle_1.jpg|tangalle_2.jpg,https://en.wikipedia.org/wiki/Tangalle,"Wikimedia Commons, CC BY-SA - verify per image"
29,Weligama Beach,beach,Matara,Southern,5.9739,80.4292,,,0,On the main coastal road between Galle and Matara,Nov-Apr,"Weligama's wide, gently sloping bay makes it one of the best places in Sri Lanka to learn surfing, with numerous surf schools catering to beginners. The bay also has iconic offshore stilt fishermen, a traditional fishing method now largely maintained for tourism photography. Its calmer, more forgiving waves contrast with the more advanced breaks found elsewhere on the south coast.",weligama_1.jpg|weligama_2.jpg,https://en.wikipedia.org/wiki/Weligama,"Wikimedia Commons, CC BY-SA - verify per image"
